Created,Modified,Original Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
2019-11-10,2019-11-10,Joker,Pelicula,8.4,122,2019,Crimen,1561802,2019-10-04,Todd Phillips
2019-11-04,2019-11-04,The Farewell,Pelicula,7.5,100,2019,Comedia,72698,2019-11-08,Lulu Wang
2019-12-08,2019-12-08,Ad Astra,Pelicula,6.5,123,2019,Aventura,265696,2019-09-20,James Gray
2019-11-03,2019-11-03,Once Upon a Time in... Hollywood,Pelicula,7.6,161,2019,Comedia,878480,2019-08-15,Quentin Tarantino
2019-08-17,2019-08-17,Gisaengchung,Pelicula,8.5,132,2019,Drama,1009079,2019-10-25,Bong Joon Ho
2019-01-19,2019-01-19,Bohemian Rhapsody,Pelicula,7.9,134,2018,Biografía,609013,2018-10-31,Bryan Singer
2019-12-24,2019-12-24,Uncut Gems,Pelicula,7.4,135,2019,Crimen,327458,2020-01-31,"Benny Safdie, Josh Safdie"
2019-04-27,2019-04-27,Avengers: Endgame,Pelicula,8.4,181,2019,Acción,1311951,2019-04-25,"Anthony Russo, Joe Russo"
2019-07-13,2019-07-13,John Wick: Chapter 3 - Parabellum,Pelicula,7.4,130,2019,Acción,440194,2019-05-31,Chad Stahelski
2019-11-27,2019-11-27,The Irishman,Pelicula,7.8,209,2019,Biografía,442375,2019-11-27,Martin Scorsese
2019-05-26,2019-05-26,Us,Pelicula,6.8,116,2019,Terror,355291,2019-03-22,Jordan Peele
2019-12-14,2019-12-14,Marriage Story,Pelicula,7.9,137,2019,Drama,354473,2019-12-06,Noah Baumbach
2019-12-26,2019-12-26,Dolemite Is My Name,Pelicula,7.2,118,2019,Biografía,65934,2019-10-25,Craig Brewer
2019-12-21,2019-12-21,Jumanji: The Next Level,Pelicula,6.7,123,2019,Acción,294645,2019-12-13,Jake Kasdan
2019-12-12,2019-12-12,Doctor Sleep,Pelicula,7.3,152,2019,Drama,226848,2019-10-31,Mike Flanagan
2019-07-21,2019-07-21,Long Shot,Pelicula,6.8,125,2019,Comedia,124176,2019-05-17,Jonathan Levine
2019-12-23,2019-12-23,Jojo Rabbit,Pelicula,7.9,108,2019,Comedia,454928,2020-01-17,Taika Waititi
2019-04-05,2019-04-05,Glass,Pelicula,6.6,129,2019,Drama,285492,2019-01-18,M. Night Shyamalan
2019-11-09,2019-11-09,The King,Pelicula,7.3,140,2019,Biografía,158835,2019-11-01,David MichÃ´d
2019-08-26,2019-08-26,Booksmart,Pelicula,7.1,102,2019,Comedia,134405,2019-07-26,Olivia Wilde
2019-01-01,2019-01-01,Kamera o tomeru na!,Pelicula,7.6,96,2017,Comedia,31654,2018-06-23,Shin'ichirÃ´ Ueda
2019-12-27,2019-12-27,Knives Out,Pelicula,7.9,130,2019,Comedia,796036,2019-11-29,Rian Johnson
2019-07-14,2019-07-14,The White Crow,Pelicula,6.6,127,2018,Biografía,7130,2019-05-01,Ralph Fiennes
2019-01-13,2019-01-13,Green Book,Pelicula,8.2,130,2018,Biografía,605066,2019-02-01,Peter Farrelly
2019-05-04,2019-05-04,Manyeo,Pelicula,7.1,125,2018,Acción,18821,2018-06-27,Park Hoon-jung
2019-12-23,2019-12-23,Zombieland: Double Tap,Pelicula,6.7,99,2019,Acción,210344,2019-10-18,Ruben Fleischer
2019-02-10,2019-02-10,Overlord,Pelicula,6.6,110,2018,Acción,109263,2018-11-09,Julius Avery
2019-01-31,2019-01-31,The Hate U Give,Pelicula,7.5,133,2018,Crimen,41401,2019-04-12,George Tillman Jr.
2019-11-24,2019-11-24,Ready or Not,Pelicula,6.9,95,2019,Acción,198589,2019-10-11,"Matt Bettinelli-Olpin, Tyler Gillett"
2019-02-24,2019-02-24,Alita: Battle Angel,Pelicula,7.3,122,2019,Acción,303216,2019-02-15,Robert Rodriguez
2019-01-12,2019-01-12,Wildlife,Pelicula,6.8,105,2018,Drama,32030,2020-04-23,Paul Dano
2019-09-15,2019-09-15,Toy Story 4,Pelicula,7.6,100,2019,Animación,289763,2019-06-21,Josh Cooley
2019-09-10,2019-09-10,Blinded by the Light,Pelicula,6.9,118,2019,Comedia,27715,2019-09-20,Gurinder Chadha
2019-09-28,2019-09-28,Midsommar,Pelicula,7.1,148,2019,Drama,429516,2019-07-26,Ari Aster
2019-02-10,2019-02-10,A Private War,Pelicula,6.7,110,2018,Biografía,21505,2019-05-31,Matthew Heineman
2019-03-12,2019-03-12,How to Train Your Dragon: The Hidden World,Pelicula,7.4,104,2019,Animación,157313,2019-02-22,Dean DeBlois
2019-09-21,2019-09-21,Fast & Furious Presents: Hobbs & Shaw,Pelicula,6.5,137,2019,Acción,242776,2019-08-01,David Leitch
2019-06-28,2019-06-28,Brightburn,Pelicula,6.1,90,2019,Drama,111088,2019-05-24,David Yarovesky
2019-03-24,2019-03-24,The Mule,Pelicula,7.0,116,2018,Crimen,156935,2019-03-08,Clint Eastwood
2019-01-09,2019-01-09,Mid90s,Pelicula,7.4,85,2018,Comedia,80827,2019-06-21,Jonah Hill
2019-01-13,2019-01-13,Beautiful Boy,Pelicula,7.4,120,2018,Biografía,106697,2019-03-15,Felix van Groeningen
2019-02-22,2019-02-22,Instant Family,Pelicula,7.3,118,2018,Comedia,124504,2019-01-25,Sean Anders
2019-02-24,2019-02-24,Manbiki kazoku,Pelicula,7.9,121,2018,Crimen,89266,2018-12-21,Hirokazu Koreeda
2019-02-17,2019-02-17,Creed II,Pelicula,7.1,130,2018,Acción,159339,2019-01-25,Steven Caple Jr.
2019-09-15,2019-09-15,Child's Play,Pelicula,5.7,90,2019,Drama,57826,2019-06-28,Lars Klevberg
2019-10-03,2019-10-03,The Art of Self-Defense,Pelicula,6.6,104,2019,Acción,41630,2019-07-19,Riley Stearns
2019-10-01,2019-10-01,Haunt,Pelicula,6.3,92,2019,Terror,41537,2019-11-15,"Scott Beck, Bryan Woods"
2019-01-01,2019-01-01,Bad Times at the El Royale,Pelicula,7.1,141,2018,Crimen,169328,2018-11-16,Drew Goddard
2019-08-29,2019-08-29,CÃ³mprame un revolver,Pelicula,6.5,84,2018,Crimen,831,2019-05-10,Julio HernÃ¡ndez CordÃ³n
2019-02-21,2019-02-21,Spider-Man: Into the Spider-Verse,Pelicula,8.4,117,2018,Animación,701666,2018-12-21,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
2019-12-12,2019-12-12,The Report,Pelicula,7.2,119,2019,Biografía,52826,2019-11-29,Scott Z. Burns
2019-09-06,2019-09-06,Late Night,Pelicula,6.5,102,2019,Comedia,41449,2020-04-24,Nisha Ganatra
2019-10-16,2019-10-16,Skin,Pelicula,6.8,118,2018,Biografía,19637,2020-03-05,Guy Nattiv
2019-11-07,2019-11-07,The Peanut Butter Falcon,Pelicula,7.6,97,2019,Aventura,109947,2020-07-17,"Tyler Nilson, Michael Schwartz"
2019-10-13,2019-10-13,El Camino,Pelicula,7.3,122,2019,Acción,304934,2019-10-11,Vince Gilligan
2019-10-06,2019-10-06,It Chapter Two,Pelicula,6.5,169,2019,Drama,315127,2019-09-06,Andy Muschietti
2019-06-06,2019-06-06,Stockholm,Pelicula,6.1,92,2018,Biografía,15071,2020-05-08,Robert Budreau
2019-03-28,2019-03-28,The Dirt,Pelicula,7.0,107,2019,Biografía,56871,2019-03-22,Jeff Tremaine
2019-01-12,2019-01-12,The Favourite,Pelicula,7.5,119,2018,Biografía,242455,2019-01-18,Yorgos Lanthimos
2019-08-09,2019-08-09,Aladdin,Pelicula,6.9,128,2019,Aventura,296633,2019-05-24,Guy Ritchie
2019-09-30,2019-09-30,Crawl,Pelicula,6.1,87,2019,Acción,96800,2019-08-23,Alexandre Aja
2019-01-01,2019-01-01,Ansisung,Pelicula,7.0,136,2018,Acción,6267,2018-09-19,Kwang-shik Kim
2019-05-26,2019-05-26,Hai Phuong,Pelicula,6.3,98,2019,Acción,5803,2019-02-22,Le-Van Kiet
2019-04-25,2019-04-25,Dragged Across Concrete,Pelicula,6.9,158,2018,Acción,57421,2020-05-29,S. Craig Zahler
2019-12-20,2019-12-20,Star Wars: Episode IX - The Rise of Skywalker,Pelicula,6.4,141,2019,Acción,506407,2019-12-19,J.J. Abrams
2019-01-01,2019-01-01,White Boy Rick,Pelicula,6.5,111,2018,Crimen,44430,2018-09-14,Yann Demange
2019-12-25,2019-12-25,The Two Popes,Pelicula,7.6,125,2019,Biografía,135002,2019-12-20,Fernando Meirelles
2019-11-23,2019-11-23,Rambo: Last Blood,Pelicula,6.1,89,2019,Acción,112659,2019-09-27,Adrian Grunberg
2019-02-04,2019-02-04,Dogman,Pelicula,7.2,103,2018,Crimen,30453,2018-05-17,Matteo Garrone
2019-02-05,2019-02-05,AndiÃ° eÃ°lilega,Pelicula,6.9,95,2018,Drama,3562,2018-03-08,Isold Uggadottir
2019-01-20,2019-01-20,Bumblebee,Pelicula,6.7,114,2018,Acción,194007,2018-12-28,Travis Knight
2019-02-21,2019-02-21,Museo,Pelicula,6.8,128,2018,Crimen,6169,2018-11-23,Alonso Ruizpalacios
2019-03-30,2019-03-30,Triple Frontier,Pelicula,6.5,125,2019,Acción,150253,2019-03-13,J.C. Chandor
2019-06-06,2019-06-06,Five Feet Apart,Pelicula,7.2,116,2019,Drama,87389,2019-09-13,Justin Baldoni
